,Source,News_text,News_url,Date information,News_date
0,mail.ru, ВОЗ создаст новую группу по изучению происхождения коронавируса,https://news.mail.ru/society/47502418/?frommail=1,No date information,
1,mail.ru,При взрыве в автобусе в Воронеже пострадали люди,https://news.mail.ru/incident/47501930/?frommail=1,No date information,
2,mail.ru,Уволенных генералов восстановят на службе для пенсии,https://news.mail.ru/incident/47502155/?frommail=1,No date information,
3,mail.ru,Пентагон направит три батальона в Афганистан,https://news.mail.ru/incident/47502273/?frommail=1,No date information,
4,mail.ru,Назвавшему русских «свиньями» экс-послу запретили въезд в Россию,https://news.mail.ru/politics/47501467/?frommail=1,No date information,
5,mail.ru,"На Таймыре на дне реки нашли больше тысячи оленьих туш",https://news.mail.ru/incident/47493176/?frommail=1,No date information,
6,mail.ru,Лавров вступил с президентом Белоруссии в заочный спор по Крыму,https://news.mail.ru/politics/47500677/?frommail=1,No date information,
7,mail.ru,Ученые заявили о накрывшей Байкал черной пленке,https://news.mail.ru/incident/47497730/?frommail=1,No date information,
8,mail.ru,Фото дня: козы прячутся в тени дерева в Испании,https://news.mail.ru/society/44226108/?frommail=10,No date information,
9,mail.ru,Пенсионерам вернут незаконно изъятые накопления,https://news.mail.ru/economics/47488733/?frommail=1,No date information,
10,lenta.ru,Улицы Керчи снова затопило из-за дождей,https://lenta.ru//news/2021/08/12/kerch/,," 23:44, 12 августа 2021"
11,lenta.ru,Смертельная перестрелка произошла в британском Плимуте,https://lenta.ru//news/2021/08/12/plimuth/,," 23:31, 12 августа 2021"
12,lenta.ru,На Украине прокомментировали заявление России об ухудшении ситуации на Донбассе,https://lenta.ru//news/2021/08/12/nikolenko/,," 23:25, 12 августа 2021"
13,lenta.ru,Очевидцы взрыва автобуса в Воронеже рассказали о произошедшем,https://lenta.ru//news/2021/08/12/ochevidcy/,," 23:09, 12 августа 2021"
14,lenta.ru,Появилось видео момента взрыва автобуса в Воронеже,https://lenta.ru//news/2021/08/12/vzr_vid/,," 23:04, 12 августа 2021"
15,lenta.ru,Названа возможная зарплата самого дорогого игрока в мире,https://lenta.ru//news/2021/08/12/footmoney/,," 22:56, 12 августа 2021"
16,lenta.ru,У коронавируса обнаружили «ахиллесову пяту»,https://lenta.ru//news/2021/08/12/achilles/,," 22:08, 12 августа 2021"
17,yandex.ru,В Воронеже при взрыве в автобусе пострадали более десяти человек,https://yandex.ru/news/story/VVoronezhe_privzryve_vavtobuse_postradali_bolee_desyati_chelovek--8ec1048391629a4fa59511724f1be6fd?lang=ru&rubric=index&fan=1&stid=hJQrVnIth5mt8iT3pQi1&t=1628802733&tt=true&persistent_id=155662343,,"2021-08-13,00:11"
18,yandex.ru,Суд в Москве арестовал директора «НИП гиперзвуковых систем» по делу о госизмене,https://yandex.ru/news/story/Sud_vMoskve_arestoval_direktora_NIP_giperzvukovykh_sistem_podelu_ogosizmene--bae9f8291505f3b3936d3d7ca97d425e?lang=ru&rubric=index&fan=1&stid=rnTGqS4uWmaeEjTOo5L-&t=1628802733&tt=true&persistent_id=155634216,,"2021-08-13,вчера в 23:45"
19,yandex.ru,МВД запретило въезд в Россию на 50 лет экс-послу Азербайджана в Белоруссии Вагабзаде,https://yandex.ru/news/story/MVD_zapretilo_vezd_vRossiyu_na50_let_ehks-poslu_Azerbajdzhana_vBelorussii_Vagabzade--c1942b8a71c01458184a30fefa7fc973?lang=ru&rubric=index&fan=1&stid=i9-RlrlHY6teT0tzYmfp&t=1628802733&tt=true&persistent_id=155660499,,"2021-08-13,00:04"
20,yandex.ru,"«Рубин» стал восьмой командой из России, которая вылетела из еврокубков без голов",https://yandex.ru/sport/story/Rubin_stal_vosmoj_komandoj_izRossii_kotoraya_vyletela_izevrokubkov_bezgolov--d4117b444c9a759f147e0df7c00c72db?lang=ru&rubric=index&fan=1&stid=M0-SnIuqHBQczFha6_0H&t=1628802733&tt=true&persistent_id=155621718&utm_source=yxnews&utm_medium=desktop,,"2021-08-13,00:07"
21,yandex.ru,Талибы заявили о захвате пяти городов Афганистана за день,https://yandex.ru/news/story/Taliby_zayavili_ozakhvate_pyati_gorodov_Afganistana_zaden--78c1970522a6cfdb009dc16072234b39?lang=ru&rubric=index&fan=1&stid=Wf5Ygq-L5BuCBxJHcnBD&t=1628802733&tt=true&persistent_id=155536313,,"2021-08-13,вчера в 23:04"
22,yandex.ru,Вузы Петербурга приняли от абитуриентов рекордные 709 тыс. заявлений,https://yandex.ru/news/story/Vuzy_Peterburga_prinyali_otabiturientov_rekordnye_709_tys._zayavlenij--4b5ecf8394d26771c64ab9fc8f9ade53?lang=ru&rubric=Saint_Petersburg&fan=1&stid=SHFE_mT68dfVdrn-UVGy&t=1628802733&tt=true&persistent_id=155639501,,"2021-08-13,вчера в 23:27"
23,yandex.ru,В метро Петербурга устранили неисправность на четвёртой линии,https://yandex.ru/news/story/Vmetro_Peterburga_ustranili_neispravnost_nachetvyortoj_linii--5fea94174ff5b071d314bb64d729042d?lang=ru&rubric=Saint_Petersburg&fan=1&stid=sLO79Dogr7lvO90LKBxl&t=1628802733&persistent_id=155653162,,"2021-08-13,вчера в 21:01"
24,yandex.ru,В Петербурге выявили загрязняющие выбросы над заводом «Петросталь»,https://yandex.ru/news/story/VPeterburge_vyyavili_zagryaznyayushhie_vybrosy_nadzavodom_Petrostal--fa39308ca55243427e166cd43509d754?lang=ru&rubric=Saint_Petersburg&fan=1&stid=sE4RUAGBBqYSd1ah8dn2&t=1628802733&persistent_id=155622934,,"2021-08-13,вчера в 20:33"
25,yandex.ru,Мужчина в Петербурге пытался покончить с собой в храме на Троицком проспекте,https://yandex.ru/news/story/Muzhchina_vPeterburge_pytalsya_pokonchit_ssoboj_vkhrame_naTroickom_prospekte--9c055db3139906f7a691c755c94818fd?lang=ru&rubric=Saint_Petersburg&fan=1&stid=KvF393gi6gI5VCFw3r05&t=1628802733&tt=true&persistent_id=155659371,,"2021-08-13,вчера в 23:59"
26,yandex.ru,Ольгу Герасину сняли с выборов в Кировском районе Петербурга,https://yandex.ru/news/story/Olgu_Gerasinu_snyali_svyborov_vKirovskom_rajone_Peterburga--d78dec7350fb8b1a4c518ed945199ded?lang=ru&rubric=Saint_Petersburg&fan=1&stid=NCGqKZ_urFTcrYYEG_kx&t=1628802733&persistent_id=155664861,,"2021-08-13,вчера в 23:42"
